Report_Name,Title Master Report,,,,,,,,,,,,,,,,,,,,,
Report_ID,TR,,,,,,,,,,,,,,,,,,,,,
Release,5,,,,,,,,,,,,,,,,,,,,,
Institution_Name,University of Mary Washington,,,,,,,,,,,,,,,,,,,,,
Institution_ID,BRILL:brill-prod_6418,,,,,,,,,,,,,,,,,,,,,
Metric_Types,,,,,,,,,,,,,,,,,,,,,,
Report_Filters,Access_Method=Regular,,,,,,,,,,,,,,,,,,,,,
Report_Attributes,Attributes_To_Show=Data_Type|YOP|Access_Type|Access_Method,,,,,,,,,,,,,,,,,,,,,
Exceptions,,,,,,,,,,,,,,,,,,,,,,
Reporting_Period,Begin_Date=2021-01-01; End_Date=2021-06-30,,,,,,,,,,,,,,,,,,,,,
Created,2022-01-13T15:31:02Z,,,,,,,,,,,,,,,,,,,,,
Created_By,KGL PubFactory powered by Scholarly iQ for Brill,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Title,Publisher,Publisher_ID,Platform,DOI,Proprietary_ID,ISBN,Print_ISSN,Online_ISSN,URI,Data_Type,Section_Type,YOP,Access_Type,Access_Method,Metric_Type,Reporting_Period_Total,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21
Adab and Modernity,BRILL,,Brill,10.1163/9789004415997,,978-90-04-41599-7,,,https://brill.com/view/title/55396,Book,,2019,Controlled,Regular,Unique_Item_Requests,1,0,0,0,1,0,0
Adab and Modernity,BRILL,,Brill,10.1163/9789004415997,,978-90-04-41599-7,,,https://brill.com/view/title/55396,Book,,2019,Controlled,Regular,Unique_Title_Investigations,1,0,0,0,1,0,0
Adab and Modernity,BRILL,,Brill,10.1163/9789004415997,,978-90-04-41599-7,,,https://brill.com/view/title/55396,Book,,2019,Controlled,Regular,Unique_Title_Requests,1,0,0,0,1,0,0
Aesthetics in Arabic Thought,BRILL,,Brill,10.1163/9789004345041,,978-90-04-34504-1,,,https://brill.com/view/title/31721,Book,,2017,Controlled,Regular,Total_Item_Investigations,1,1,0,0,0,0,0
Aesthetics in Arabic Thought,BRILL,,Brill,10.1163/9789004345041,,978-90-04-34504-1,,,https://brill.com/view/title/31721,Book,,2017,Controlled,Regular,Unique_Item_Investigations,1,1,0,0,0,0,0
Aesthetics in Arabic Thought,BRILL,,Brill,10.1163/9789004345041,,978-90-04-34504-1,,,https://brill.com/view/title/31721,Book,,2017,Controlled,Regular,Unique_Title_Investigations,1,1,0,0,0,0,0
"Affect, Emotion, and Subjectivity in Early Modern Muslim Empires: New Studies in Ottoman, Safavid, and Mughal Art and Culture",BRILL,,Brill,10.1163/9789004352841,,978-90-04-35284-1,,,https://brill.com/view/title/34464,Book,,2017,Controlled,Regular,Total_Item_Investigations,1,1,0,0,0,0,0
"Affect, Emotion, and Subjectivity in Early Modern Muslim Empires: New Studies in Ottoman, Safavid, and Mughal Art and Culture",BRILL,,Brill,10.1163/9789004352841,,978-90-04-35284-1,,,https://brill.com/view/title/34464,Book,,2017,Controlled,Regular,Unique_Item_Investigations,1,1,0,0,0,0,0
"Affect, Emotion, and Subjectivity in Early Modern Muslim Empires: New Studies in Ottoman, Safavid, and Mughal Art and Culture",BRILL,,Brill,10.1163/9789004352841,,978-90-04-35284-1,,,https://brill.com/view/title/34464,Book,,2017,Controlled,Regular,Unique_Title_Investigations,1,1,0,0,0,0,0
After the Soviet Empire,BRILL,,Brill,10.1163/9789004291454,,978-90-04-29145-4,,,https://brill.com/view/title/25125,Book,,2016,Controlled,Regular,Total_Item_Investigations,1,0,1,0,0,0,0
After the Soviet Empire,BRILL,,Brill,10.1163/9789004291454,,978-90-04-29145-4,,,https://brill.com/view/title/25125,Book,,2016,Controlled,Regular,Total_Item_Requests,1,0,1,0,0,0,0
After the Soviet Empire,BRILL,,Brill,10.1163/9789004291454,,978-90-04-29145-4,,,https://brill.com/view/title/25125,Book,,2016,Controlled,Regular,Unique_Item_Investigations,1,0,1,0,0,0,0
After the Soviet Empire,BRILL,,Brill,10.1163/9789004291454,,978-90-04-29145-4,,,https://brill.com/view/title/25125,Book,,2016,Controlled,Regular,Unique_Item_Requests,1,0,1,0,0,0,0
After the Soviet Empire,BRILL,,Brill,10.1163/9789004291454,,978-90-04-29145-4,,,https://brill.com/view/title/25125,Book,,2016,Controlled,Regular,Unique_Title_Investigations,1,0,1,0,0,0,0
After the Soviet Empire,BRILL,,Brill,10.1163/9789004291454,,978-90-04-29145-4,,,https://brill.com/view/title/25125,Book,,2016,Controlled,Regular,Unique_Title_Requests,1,0,1,0,0,0,0
Alice Walker’s <i>The Color Purple</i>,BRILL,,Brill,10.1163/9789042028913,,978-90-420-2891-3,,,https://brill.com/view/title/28770,Book,,2009,Controlled,Regular,No_License,1,0,0,1,0,0,0
Alice Walker’s <i>The Color Purple</i>,BRILL,,Brill,10.1163/9789042028913,,978-90-420-2891-3,,,https://brill.com/view/title/28770,Book,,2009,Controlled,Regular,Total_Item_Investigations,1,0,0,1,0,0,0
Alice Walker’s <i>The Color Purple</i>,BRILL,,Brill,10.1163/9789042028913,,978-90-420-2891-3,,,https://brill.com/view/title/28770,Book,,2009,Controlled,Regular,Unique_Item_Investigations,1,0,0,1,0,0,0
Alice Walker’s <i>The Color Purple</i>,BRILL,,Brill,10.1163/9789042028913,,978-90-420-2891-3,,,https://brill.com/view/title/28770,Book,,2009,Controlled,Regular,Unique_Title_Investigations,1,0,0,1,0,0,0
"Al-Maqrīzī’s <i>al-Ḫabar ʿan al-bašar</i>, Vol. V, Section 4: Persia and Its Kings, Part I",BRILL,,Brill,10.1163/9789004355996,,978-90-04-35599-6,,,https://brill.com/view/title/35847,Book,,2017,OA_Gold,Regular,Total_Item_Investigations,2,0,0,0,2,0,0
"Al-Maqrīzī’s <i>al-Ḫabar ʿan al-bašar</i>, Vol. V, Section 4: Persia and Its Kings, Part I",BRILL,,Brill,10.1163/9789004355996,,978-90-04-35599-6,,,https://brill.com/view/title/35847,Book,,2017,OA_Gold,Regular,Total_Item_Requests,1,0,0,0,1,0,0
"Al-Maqrīzī’s <i>al-Ḫabar ʿan al-bašar</i>, Vol. V, Section 4: Persia and Its Kings, Part I",BRILL,,Brill,10.1163/9789004355996,,978-90-04-35599-6,,,https://brill.com/view/title/35847,Book,,2017,OA_Gold,Regular,Unique_Item_Investigations,1,0,0,0,1,0,0
"Al-Maqrīzī’s <i>al-Ḫabar ʿan al-bašar</i>, Vol. V, Section 4: Persia and Its Kings, Part I",BRILL,,Brill,10.1163/9789004355996,,978-90-04-35599-6,,,https://brill.com/view/title/35847,Book,,2017,OA_Gold,Regular,Unique_Item_Requests,1,0,0,0,1,0,0
"Al-Maqrīzī’s <i>al-Ḫabar ʿan al-bašar</i>, Vol. V, Section 4: Persia and Its Kings, Part I",BRILL,,Brill,10.1163/9789004355996,,978-90-04-35599-6,,,https://brill.com/view/title/35847,Book,,2017,OA_Gold,Regular,Unique_Title_Investigations,1,0,0,0,1,0,0
"Al-Maqrīzī’s <i>al-Ḫabar ʿan al-bašar</i>, Vol. V, Section 4: Persia and Its Kings, Part I",BRILL,,Brill,10.1163/9789004355996,,978-90-04-35599-6,,,https://brill.com/view/title/35847,Book,,2017,OA_Gold,Regular,Unique_Title_Requests,1,0,0,0,1,0,0
Al-Maqrīzī’s al-Ḫabar ʿan al-bašar,BRILL,,Brill,10.1163/9789004386952,,978-90-04-38695-2,,,https://brill.com/view/title/38805,Book,,2019,Controlled,Regular,Total_Item_Investigations,2,0,0,0,2,0,0
Al-Maqrīzī’s al-Ḫabar ʿan al-bašar,BRILL,,Brill,10.1163/9789004386952,,978-90-04-38695-2,,,https://brill.com/view/title/38805,Book,,2019,Controlled,Regular,Total_Item_Requests,1,0,0,0,1,0,0
Al-Maqrīzī’s al-Ḫabar ʿan al-bašar,BRILL,,Brill,10.1163/9789004386952,,978-90-04-38695-2,,,https://brill.com/view/title/38805,Book,,2019,Controlled,Regular,Unique_Item_Investigations,1,0,0,0,1,0,0
Al-Maqrīzī’s al-Ḫabar ʿan al-bašar,BRILL,,Brill,10.1163/9789004386952,,978-90-04-38695-2,,,https://brill.com/view/title/38805,Book,,2019,Controlled,Regular,Unique_Item_Requests,1,0,0,0,1,0,0
Al-Maqrīzī’s al-Ḫabar ʿan al-bašar,BRILL,,Brill,10.1163/9789004386952,,978-90-04-38695-2,,,https://brill.com/view/title/38805,Book,,2019,Controlled,Regular,Unique_Title_Investigations,1,0,0,0,1,0,0
Al-Maqrīzī’s al-Ḫabar ʿan al-bašar,BRILL,,Brill,10.1163/9789004386952,,978-90-04-38695-2,,,https://brill.com/view/title/38805,Book,,2019,Controlled,Regular,Unique_Title_Requests,1,0,0,0,1,0,0
Amphibia-Reptilia,BRILL,,Brill,,,,0173-5373,1568-5381,https://brill.com/view/journals/amre/amre-overview.xml,Journal,,1992,Controlled,Regular,No_License,1,0,0,1,0,0,0
Amphibia-Reptilia,BRILL,,Brill,,,,0173-5373,1568-5381,https://brill.com/view/journals/amre/amre-overview.xml,Journal,,1992,Controlled,Regular,Total_Item_Investigations,1,0,0,1,0,0,0
Amphibia-Reptilia,BRILL,,Brill,,,,0173-5373,1568-5381,https://brill.com/view/journals/amre/amre-overview.xml,Journal,,1992,Controlled,Regular,Unique_Item_Investigations,1,0,0,1,0,0,0
Amphibia-Reptilia,BRILL,,Brill,,,,0173-5373,1568-5381,https://brill.com/view/journals/amre/amre-overview.xml,Journal,,2009,Controlled,Regular,No_License,1,0,0,0,1,0,0
Amphibia-Reptilia,BRILL,,Brill,,,,0173-5373,1568-5381,https://brill.com/view/journals/amre/amre-overview.xml,Journal,,2009,Controlled,Regular,Total_Item_Investigations,1,0,0,0,1,0,0
Amphibia-Reptilia,BRILL,,Brill,,,,0173-5373,1568-5381,https://brill.com/view/journals/amre/amre-overview.xml,Journal,,2009,Controlled,Regular,Unique_Item_Investigations,1,0,0,0,1,0,0
Amsterdamer Beiträge zur älteren Germanistik,BRILL,,Brill,,,,0165-7305,1875-6719,https://brill.com/view/journals/abag/abag-overview.xml,Journal,,1996,Controlled,Regular,No_License,3,0,0,0,0,3,0
Amsterdamer Beiträge zur älteren Germanistik,BRILL,,Brill,,,,0165-7305,1875-6719,https://brill.com/view/journals/abag/abag-overview.xml,Journal,,1996,Controlled,Regular,Total_Item_Investigations,4,0,0,0,0,4,0
Amsterdamer Beiträge zur älteren Germanistik,BRILL,,Brill,,,,0165-7305,1875-6719,https://brill.com/view/journals/abag/abag-overview.xml,Journal,,1996,Controlled,Regular,Unique_Item_Investigations,3,0,0,0,0,3,0
