Report_Name,"Title Master Report"
Report_ID,"TR"
Release,"5"
Institution_Name,"University of Mary Washington"
Institution_ID,"sagepub:115139"
Metric_Types,""
Report_Filters,""
Report_Attributes,"Attributes_To_Show=Access_Method|Access_Type|Data_Type|Section_Type|YOP"
Exceptions,""
Reporting_Period,"Begin_Date=2020-07-01; End_Date=2021-06-30"
Created,"2022-01-12T19:15:28Z"
Created_By,"SAGE Publishing SecureCenter"

"Title","Publisher","Publisher_ID","Platform","DOI","Proprietary_ID","ISBN","Print_ISSN","Online_ISSN","URI","Data_Type","Section_Type","YOP","Access_Type","Access_Method","Metric_Type","Reporting_Period_Total","Jul-2020","Aug-2020","Sep-2020","Oct-2020","Nov-2020","Dec-2020","Jan-2021","Feb-2021","Mar-2021","Apr-2021","May-2021","Jun-2021"
"CQ Researcher","CQ Press","sagepub:cq-press","CQ Press Library","","","1056-2036","","1056-2036","","Report","Article","1985","Controlled","Regular","Total_Item_Investigations","2","0","0","0","2","0","0","0","0","0","0","0","0"
"CQ Researcher","CQ Press","sagepub:cq-press","CQ Press Library","","","1056-2036","","1056-2036","","Report","Article","1943","Controlled","Regular","Total_Item_Requests","1","0","0","1","0","0","0","0","0","0","0","0","0"
"CQ Researcher","CQ Press","sagepub:cq-press","CQ Press Library","","","1056-2036","","1056-2036","","Report","Article","1953","Controlled","Regular","Total_Item_Requests","1","0","0","0","0","0","0","1","0","0","0","0","0"
"CQ Researcher","CQ Press","sagepub:cq-press","CQ Press Library","","","1056-2036","","1056-2036","","Report","Article","1966","Controlled","Regular","Total_Item_Requests","1","0","0","0","1","0","0","0","0","0","0","0","0"
"CQ Researcher","CQ Press","sagepub:cq-press","CQ Press Library","","","1056-2036","","1056-2036","","Report","Article","1968","Controlled","Regular","Total_Item_Requests","1","0","0","0","0","0","0","0","1","0","0","0","0"
"CQ Researcher","CQ Press","sagepub:cq-press","CQ Press Library","","","1056-2036","","1056-2036","","Report","Article","1985","Controlled","Regular","Total_Item_Requests","2","0","0","0","2","0","0","0","0","0","0","0","0"
"CQ Researcher","CQ Press","sagepub:cq-press","CQ Press Library","","","1056-2036","","1056-2036","","Report","Article","1943","Controlled","Regular","Unique_Item_Investigations","1","0","0","1","0","0","0","0","0","0","0","0","0"
"CQ Researcher","CQ Press","sagepub:cq-press","CQ Press Library","","","1056-2036","","1056-2036","","Report","Article","1953","Controlled","Regular","Unique_Item_Investigations","1","0","0","0","0","0","0","1","0","0","0","0","0"
"CQ Researcher","CQ Press","sagepub:cq-press","CQ Press Library","","","1056-2036","","1056-2036","","Report","Article","1966","Controlled","Regular","Unique_Item_Investigations","1","0","0","0","1","0","0","0","0","0","0","0","0"
"CQ Researcher","CQ Press","sagepub:cq-press","CQ Press Library","","","1056-2036","","1056-2036","","Report","Article","1968","Controlled","Regular","Unique_Item_Investigations","1","0","0","0","0","0","0","0","1","0","0","0","0"
"CQ Researcher","CQ Press","sagepub:cq-press","CQ Press Library","","","1056-2036","","1056-2036","","Report","Article","1985","Controlled","Regular","Unique_Item_Investigations","2","0","0","0","2","0","0","0","0","0","0","0","0"
"CQ Researcher","CQ Press","sagepub:cq-press","CQ Press Library","","","1056-2036","","1056-2036","","Report","Article","1943","Controlled","Regular","Unique_Item_Requests","1","0","0","1","0","0","0","0","0","0","0","0","0"
"CQ Researcher","CQ Press","sagepub:cq-press","CQ Press Library","","","1056-2036","","1056-2036","","Report","Article","1953","Controlled","Regular","Unique_Item_Requests","1","0","0","0","0","0","0","1","0","0","0","0","0"
"CQ Researcher","CQ Press","sagepub:cq-press","CQ Press Library","","","1056-2036","","1056-2036","","Report","Article","1966","Controlled","Regular","Unique_Item_Requests","1","0","0","0","1","0","0","0","0","0","0","0","0"
"CQ Researcher","CQ Press","sagepub:cq-press","CQ Press Library","","","1056-2036","","1056-2036","","Report","Article","1968","Controlled","Regular","Unique_Item_Requests","1","0","0","0","0","0","0","0","1","0","0","0","0"
"CQ Researcher","CQ Press","sagepub:cq-press","CQ Press Library","","","1056-2036","","1056-2036","","Report","Article","1985","Controlled","Regular","Unique_Item_Requests","2","0","0","0","2","0","0","0","0","0","0","0","0"
"Disability Studies","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781473957701","240396","978-1-47-395770-1","","9781-1446","","Book","","2015","Controlled","Regular","Unique_Title_Investigations","1","0","0","0","1","0","0","0","0","0","0","0","0"
"Disability Studies","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781473957701","240396","978-1-47-395770-1","","9781-1446","","Book","Chapter","0001","Controlled","Regular","No_License","1","0","0","0","1","0","0","0","0","0","0","0","0"
"Disability Studies","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781473957701","240396","978-1-47-395770-1","","9781-1446","","Book","Chapter","2015","Controlled","Regular","Total_Item_Investigations","1","0","0","0","1","0","0","0","0","0","0","0","0"
"Disability Studies","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781473957701","240396","978-1-47-395770-1","","9781-1446","","Book","Chapter","2015","Controlled","Regular","Unique_Item_Investigations","1","0","0","0","1","0","0","0","0","0","0","0","0"
"Effective Leadership","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781544308524","232558","978-1-54-430852-4","","9781-1412","","Book","","2017","Controlled","Regular","Unique_Title_Investigations","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Effective Leadership","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781544308524","232558","978-1-54-430852-4","","9781-1412","","Book","Chapter","0001","Controlled","Regular","No_License","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Effective Leadership","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781544308524","232558","978-1-54-430852-4","","9781-1412","","Book","Chapter","2017","Controlled","Regular","Total_Item_Investigations","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Effective Leadership","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781544308524","232558","978-1-54-430852-4","","9781-1412","","Book","Chapter","2017","Controlled","Regular","Unique_Item_Investigations","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Encyclopedia of Case Study Research","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412957397","","978-1-41-295739-7","","9781-1412","","Book","","2012","Controlled","Regular","Unique_Title_Investigations","5","0","0","2","2","1","0","0","0","0","0","0","0"
"Encyclopedia of Case Study Research","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412957397","","978-1-41-295739-7","","9781-1412","","Book","Chapter","0001","Controlled","Regular","No_License","7","0","0","4","2","1","0","0","0","0","0","0","0"
"Encyclopedia of Case Study Research","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412957397","","978-1-41-295739-7","","9781-1412","","Book","Chapter","2012","Controlled","Regular","Total_Item_Investigations","7","0","0","4","2","1","0","0","0","0","0","0","0"
"Encyclopedia of Case Study Research","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412957397","","978-1-41-295739-7","","9781-1412","","Book","Chapter","2012","Controlled","Regular","Unique_Item_Investigations","6","0","0","3","2","1","0","0","0","0","0","0","0"
"Encyclopedia of Counseling","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412963978","","978-1-41-296397-8","","9781-1412","","Book","","2008","Controlled","Regular","Unique_Title_Investigations","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Encyclopedia of Counseling","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412963978","","978-1-41-296397-8","","9781-1412","","Book","Chapter","0001","Controlled","Regular","No_License","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Encyclopedia of Counseling","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412963978","","978-1-41-296397-8","","9781-1412","","Book","Chapter","2008","Controlled","Regular","Total_Item_Investigations","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Encyclopedia of Counseling","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412963978","","978-1-41-296397-8","","9781-1412","","Book","Chapter","2008","Controlled","Regular","Unique_Item_Investigations","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Encyclopedia of Criminological Theory","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412959193","","978-1-41-295919-3","","9781-1412","","Book","","2010","Controlled","Regular","Unique_Title_Investigations","1","0","0","0","0","0","0","0","1","0","0","0","0"
"Encyclopedia of Criminological Theory","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412959193","","978-1-41-295919-3","","9781-1412","","Book","Chapter","0001","Controlled","Regular","No_License","1","0","0","0","0","0","0","0","1","0","0","0","0"
"Encyclopedia of Criminological Theory","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412959193","","978-1-41-295919-3","","9781-1412","","Book","Chapter","2010","Controlled","Regular","Total_Item_Investigations","1","0","0","0","0","0","0","0","1","0","0","0","0"
"Encyclopedia of Criminological Theory","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412959193","","978-1-41-295919-3","","9781-1412","","Book","Chapter","2010","Controlled","Regular","Unique_Item_Investigations","1","0","0","0","0","0","0","0","1","0","0","0","0"
