"Report_Name","Title Master Report",
"Report_ID","TR",
"Release","5",
"Institution_Name","University of Mary Washington",
"Institution_ID","OUP:10751",
"Metric_Types","",
"Report_Filters","YOP=0001|9999",
"Report_Attributes","Attributes_To_Show=Access_Method|Access_Type|Data_Type|Section_Type|YOP",
"Exceptions","",
"Reporting_Period","Begin_Date=2020-07-01; End_Date=2021-06-30",
"Created","2022-01-12T19:04:08Z",
"Created_By","Scholarly iQ for Oxford University Press",
"","",
"Title","Publisher","Publisher_ID","Platform","DOI","Proprietary_ID","ISBN","Print_ISSN","Online_ISSN","URI","Data_Type","Section_Type","YOP","Access_Type","Access_Method","Metric_Type","Reporting_Period_Total","Jul-2020","Aug-2020","Sep-2020","Oct-2020","Nov-2020","Dec-2020","Jan-2021","Feb-2021","Mar-2021","Apr-2021","May-2021","Jun-2021",
"Gaming Sexism","Oxford University Press","","NYU Press","","","978-1-4798-3852-3","","","","Book","","0001","Controlled","Regular","Unique_Title_Investigations","1","0","0","0","0","0","0","0","0","0","0","1","0",
"Gaming Sexism","Oxford University Press","","NYU Press","","","978-1-4798-3852-3","","","","Book","","0001","Controlled","Regular","Unique_Title_Requests","1","0","0","0","0","0","0","0","0","0","0","1","0",
"Gaming Sexism","Oxford University Press","","NYU Press","","","978-1-4798-3852-3","","","","Book","Chapter","0001","Controlled","Regular","Total_Item_Investigations","1","0","0","0","0","0","0","0","0","0","0","1","0",
"Gaming Sexism","Oxford University Press","","NYU Press","","","978-1-4798-3852-3","","","","Book","Chapter","0001","Controlled","Regular","Total_Item_Requests","1","0","0","0","0","0","0","0","0","0","0","1","0",
"Gaming Sexism","Oxford University Press","","NYU Press","","","978-1-4798-3852-3","","","","Book","Chapter","0001","Controlled","Regular","Unique_Item_Investigations","1","0","0","0","0","0","0","0","0","0","0","1","0",
"Gaming Sexism","Oxford University Press","","NYU Press","","","978-1-4798-3852-3","","","","Book","Chapter","0001","Controlled","Regular","Unique_Item_Requests","1","0","0","0","0","0","0","0","0","0","0","1","0",
"The Path to Gay Rights","Oxford University Press","","NYU Press","","","978-1-4798-2213-3","","","","Book","","0001","Controlled","Regular","Unique_Title_Investigations","1","0","0","0","0","0","0","0","0","1","0","0","0",
"The Path to Gay Rights","Oxford University Press","","NYU Press","","","978-1-4798-2213-3","","","","Book","","0001","Controlled","Regular","Unique_Title_Requests","1","0","0","0","0","0","0","0","0","1","0","0","0",
"The Path to Gay Rights","Oxford University Press","","NYU Press","","","978-1-4798-2213-3","","","","Book","Chapter","0001","Controlled","Regular","Total_Item_Investigations","1","0","0","0","0","0","0","0","0","1","0","0","0",
"The Path to Gay Rights","Oxford University Press","","NYU Press","","","978-1-4798-2213-3","","","","Book","Chapter","0001","Controlled","Regular","Total_Item_Requests","1","0","0","0","0","0","0","0","0","1","0","0","0",
"The Path to Gay Rights","Oxford University Press","","NYU Press","","","978-1-4798-2213-3","","","","Book","Chapter","0001","Controlled","Regular","Unique_Item_Investigations","1","0","0","0","0","0","0","0","0","1","0","0","0",
"The Path to Gay Rights","Oxford University Press","","NYU Press","","","978-1-4798-2213-3","","","","Book","Chapter","0001","Controlled","Regular","Unique_Item_Requests","1","0","0","0","0","0","0","0","0","1","0","0","0",
"Oxford African American Studies Center","Oxford University Press","","Oxford African American Studies Center","","","978-0-19-530173-1","","","","Book","Other","0001","Controlled","Regular","No_License","15","0","0","1","11","0","0","0","0","1","1","1","0",
"International Relations","Oxford University Press","","Oxford Bibliographies","","","978-0-19-974329-2","","","","Book","","0001","Controlled","Regular","Unique_Title_Investigations","1","0","0","0","0","0","0","0","0","0","1","0","0",
"International Relations","Oxford University Press","","Oxford Bibliographies","","","978-0-19-974329-2","","","","Book","Other","0001","Controlled","Regular","No_License","1","0","0","0","0","0","0","0","0","0","1","0","0",
"International Relations","Oxford University Press","","Oxford Bibliographies","","","978-0-19-974329-2","","","","Book","Other","0001","Controlled","Regular","Total_Item_Investigations","1","0","0","0","0","0","0","0","0","0","1","0","0",
"International Relations","Oxford University Press","","Oxford Bibliographies","","","978-0-19-974329-2","","","","Book","Other","0001","Controlled","Regular","Unique_Item_Investigations","1","0","0","0","0","0","0","0","0","0","1","0","0",
"Political Science","Oxford University Press","","Oxford Bibliographies","","","978-0-19-975622-3","","","","Book","","0001","Controlled","Regular","Unique_Title_Investigations","1","0","0","0","0","0","0","0","0","0","0","1","0",
"Political Science","Oxford University Press","","Oxford Bibliographies","","","978-0-19-975622-3","","","","Book","","0001","Controlled","Regular","Unique_Title_Requests","1","0","0","0","0","0","0","0","0","0","0","1","0",
"Political Science","Oxford University Press","","Oxford Bibliographies","","","978-0-19-975622-3","","","","Book","Other","0001","Controlled","Regular","Total_Item_Investigations","1","0","0","0","0","0","0","0","0","0","0","1","0",
"Political Science","Oxford University Press","","Oxford Bibliographies","","","978-0-19-975622-3","","","","Book","Other","0001","Controlled","Regular","Total_Item_Requests","1","0","0","0","0","0","0","0","0","0","0","1","0",
"Political Science","Oxford University Press","","Oxford Bibliographies","","","978-0-19-975622-3","","","","Book","Other","0001","Controlled","Regular","Unique_Item_Investigations","1","0","0","0","0","0","0","0","0","0","0","1","0",
"Political Science","Oxford University Press","","Oxford Bibliographies","","","978-0-19-975622-3","","","","Book","Other","0001","Controlled","Regular","Unique_Item_Requests","1","0","0","0","0","0","0","0","0","0","0","1","0",
"Help for Adolescent Males with Sexual Behavior Problems","Oxford University Press","","Oxford Clinical Psychology","","","978-0-19-532950-6","","","","Book","","0001","Controlled","Regular","Unique_Title_Investigations","1","0","0","0","0","0","0","0","1","0","0","0","0",
"Help for Adolescent Males with Sexual Behavior Problems","Oxford University Press","","Oxford Clinical Psychology","","","978-0-19-532950-6","","","","Book","","0001","Controlled","Regular","Unique_Title_Requests","1","0","0","0","0","0","0","0","1","0","0","0","0",
"Help for Adolescent Males with Sexual Behavior Problems","Oxford University Press","","Oxford Clinical Psychology","","","978-0-19-532950-6","","","","Book","Chapter","0001","Controlled","Regular","Total_Item_Investigations","1","0","0","0","0","0","0","0","1","0","0","0","0",
"Help for Adolescent Males with Sexual Behavior Problems","Oxford University Press","","Oxford Clinical Psychology","","","978-0-19-532950-6","","","","Book","Chapter","0001","Controlled","Regular","Total_Item_Requests","1","0","0","0","0","0","0","0","1","0","0","0","0",
"Help for Adolescent Males with Sexual Behavior Problems","Oxford University Press","","Oxford Clinical Psychology","","","978-0-19-532950-6","","","","Book","Chapter","0001","Controlled","Regular","Unique_Item_Investigations","1","0","0","0","0","0","0","0","1","0","0","0","0",
"Help for Adolescent Males with Sexual Behavior Problems","Oxford University Press","","Oxford Clinical Psychology","","","978-0-19-532950-6","","","","Book","Chapter","0001","Controlled","Regular","Unique_Item_Requests","1","0","0","0","0","0","0","0","1","0","0","0","0",
"Mastery of Your Anxiety and Worry: Workbook","Oxford University Press","","Oxford Clinical Psychology","","","978-0-19-530001-7","","","","Book","","0001","Controlled","Regular","Unique_Title_Investigations","1","0","0","0","0","0","0","0","1","0","0","0","0",
"Mastery of Your Anxiety and Worry: Workbook","Oxford University Press","","Oxford Clinical Psychology","","","978-0-19-530001-7","","","","Book","","0001","Controlled","Regular","Unique_Title_Requests","1","0","0","0","0","0","0","0","1","0","0","0","0",
"Mastery of Your Anxiety and Worry: Workbook","Oxford University Press","","Oxford Clinical Psychology","","","978-0-19-530001-7","","","","Book","Chapter","0001","Controlled","Regular","Total_Item_Investigations","1","0","0","0","0","0","0","0","1","0","0","0","0",
"Mastery of Your Anxiety and Worry: Workbook","Oxford University Press","","Oxford Clinical Psychology","","","978-0-19-530001-7","","","","Book","Chapter","0001","Controlled","Regular","Total_Item_Requests","1","0","0","0","0","0","0","0","1","0","0","0","0",
"Mastery of Your Anxiety and Worry: Workbook","Oxford University Press","","Oxford Clinical Psychology","","","978-0-19-530001-7","","","","Book","Chapter","0001","Controlled","Regular","Unique_Item_Investigations","1","0","0","0","0","0","0","0","1","0","0","0","0",
"Mastery of Your Anxiety and Worry: Workbook","Oxford University Press","","Oxford Clinical Psychology","","","978-0-19-530001-7","","","","Book","Chapter","0001","Controlled","Regular","Unique_Item_Requests","1","0","0","0","0","0","0","0","1","0","0","0","0",
"Overcoming Your Eating Disorder: Guided Self-Help Workbook","Oxford University Press","","Oxford Clinical Psychology","","","978-0-19-533456-2","","","","Book","","0001","Controlled","Regular","Unique_Title_Investigations","1","0","0","0","1","0","0","0","0","0","0","0","0",
"Overcoming Your Eating Disorder: Guided Self-Help Workbook","Oxford University Press","","Oxford Clinical Psychology","","","978-0-19-533456-2","","","","Book","","0001","Controlled","Regular","Unique_Title_Requests","1","0","0","0","1","0","0","0","0","0","0","0","0",
"Overcoming Your Eating Disorder: Guided Self-Help Workbook","Oxford University Press","","Oxford Clinical Psychology","","","978-0-19-533456-2","","","","Book","Chapter","0001","Controlled","Regular","Total_Item_Investigations","1","0","0","0","1","0","0","0","0","0","0","0","0",
"Overcoming Your Eating Disorder: Guided Self-Help Workbook","Oxford University Press","","Oxford Clinical Psychology","","","978-0-19-533456-2","","","","Book","Chapter","0001","Controlled","Regular","Total_Item_Requests","1","0","0","0","1","0","0","0","0","0","0","0","0",
"Overcoming Your Eating Disorder: Guided Self-Help Workbook","Oxford University Press","","Oxford Clinical Psychology","","","978-0-19-533456-2","","","","Book","Chapter","0001","Controlled","Regular","Unique_Item_Investigations","1","0","0","0","1","0","0","0","0","0","0","0","0",
"Overcoming Your Eating Disorder: Guided Self-Help Workbook","Oxford University Press","","Oxford Clinical Psychology","","","978-0-19-533456-2","","","","Book","Chapter","0001","Controlled","Regular","Unique_Item_Requests","1","0","0","0","1","0","0","0","0","0","0","0","0",
"Parent Training for Disruptive Behavior","Oxford University Press","","Oxford Clinical Psychology","","","978-0-19-062784-3","","","","Book","","0001","Controlled","Regular","Unique_Title_Investigations","1","0","1","0","0","0","0","0","0","0","0","0","0",
"Parent Training for Disruptive Behavior","Oxford University Press","","Oxford Clinical Psychology","","","978-0-19-062784-3","","","","Book","","0001","Controlled","Regular","Unique_Title_Requests","1","0","1","0","0","0","0","0","0","0","0","0","0",
"Parent Training for Disruptive Behavior","Oxford University Press","","Oxford Clinical Psychology","","","978-0-19-062784-3","","","","Book","Chapter","0001","Controlled","Regular","Total_Item_Investigations","1","0","1","0","0","0","0","0","0","0","0","0","0",
"Parent Training for Disruptive Behavior","Oxford University Press","","Oxford Clinical Psychology","","","978-0-19-062784-3","","","","Book","Chapter","0001","Controlled","Regular","Total_Item_Requests","1","0","1","0","0","0","0","0","0","0","0","0","0",
"Parent Training for Disruptive Behavior","Oxford University Press","","Oxford Clinical Psychology","","","978-0-19-062784-3","","","","Book","Chapter","0001","Controlled","Regular","Unique_Item_Investigations","1","0","1","0","0","0","0","0","0","0","0","0","0",
"Parent Training for Disruptive Behavior","Oxford University Press","","Oxford Clinical Psychology","","","978-0-19-062784-3","","","","Book","Chapter","0001","Controlled","Regular","Unique_Item_Requests","1","0","1","0","0","0","0","0","0","0","0","0","0",
"Oxford Dictionary of National Biography","Oxford University Press","","Oxford Dictionary of National Biography","","","978-0-19-861412-8","","","","Book","","0001","Controlled","Regular","Unique_Title_Investigations","1","0","0","0","0","0","0","0","0","0","1","0","0",
"Oxford Dictionary of National Biography","Oxford University Press","","Oxford Dictionary of National Biography","","","978-0-19-861412-8","","","","Book","Other","0001","Controlled","Regular","No_License","1","0","0","0","0","0","0","0","0","0","1","0","0",
"Oxford Dictionary of National Biography","Oxford University Press","","Oxford Dictionary of National Biography","","","978-0-19-861412-8","","","","Book","Other","0001","Controlled","Regular","Total_Item_Investigations","1","0","0","0","0","0","0","0","0","0","1","0","0",
"Oxford Dictionary of National Biography","Oxford University Press","","Oxford Dictionary of National Biography","","","978-0-19-861412-8","","","","Book","Other","0001","Controlled","Regular","Unique_Item_Investigations","1","0","0","0","0","0","0","0","0","0","1","0","0",
"Oxford English Dictionary","Oxford University Press","","Oxford English Dictionary","","","978-0-19-860555-3","","","","Book","","0001","Controlled","Regular","Unique_Title_Investigations","11","0","1","4","3","0","0","0","0","0","1","2","0",
"Oxford English Dictionary","Oxford University Press","","Oxford English Dictionary","","","978-0-19-860555-3","","","","Book","","0001","Controlled","Regular","Unique_Title_Requests","11","0","1","4","3","0","0","0","0","0","1","2","0",
"Oxford English Dictionary","Oxford University Press","","Oxford English Dictionary","","","978-0-19-860555-3","","","","Book","Other","0001","Controlled","Regular","Total_Item_Investigations","15","0","2","4","5","0","0","0","0","0","1","3","0",
"Oxford English Dictionary","Oxford University Press","","Oxford English Dictionary","","","978-0-19-860555-3","","","","Book","Other","0001","Controlled","Regular","Total_Item_Requests","15","0","2","4","5","0","0","0","0","0","1","3","0",
"Oxford English Dictionary","Oxford University Press","","Oxford English Dictionary","","","978-0-19-860555-3","","","","Book","Other","0001","Controlled","Regular","Unique_Item_Investigations","12","0","1","4","4","0","0","0","0","0","1","2","0",
"Oxford English Dictionary","Oxford University Press","","Oxford English Dictionary","","","978-0-19-860555-3","","","","Book","Other","0001","Controlled","Regular","Unique_Item_Requests","12","0","1","4","4","0","0","0","0","0","1","2","0",
"Oxford First Source","Oxford University Press","","Oxford First Source","","","978-0-19-979418-8","","","","Book","","0001","Controlled","Regular","Unique_Title_Investigations","3","0","0","1","2","0","0","0","0","0","0","0","0",
"Oxford First Source","Oxford University Press","","Oxford First Source","","","978-0-19-979418-8","","","","Book","Other","0001","Controlled","Regular","No_License","3","0","0","1","2","0","0","0","0","0","0","0","0",
"Oxford First Source","Oxford University Press","","Oxford First Source","","","978-0-19-979418-8","","","","Book","Other","0001","Controlled","Regular","Total_Item_Investigations","3","0","0","1","2","0","0","0","0","0","0","0","0",
"Oxford First Source","Oxford University Press","","Oxford First Source","","","978-0-19-979418-8","","","","Book","Other","0001","Controlled","Regular","Unique_Item_Investigations","3","0","0","1","2","0","0","0","0","0","0","0","0",
"Ecphrasis","Oxford University Press","","Oxford Handbooks Online","","","978-0-19-993539-0","","","","Book","","0001","Controlled","Regular","Unique_Title_Investigations","1","0","0","0","1","0","0","0","0","0","0","0","0",
"Ecphrasis","Oxford University Press","","Oxford Handbooks Online","","","978-0-19-993539-0","","","","Book","","0001","Controlled","Regular","Unique_Title_Requests","1","0","0","0","1","0","0","0","0","0","0","0","0",
"Ecphrasis","Oxford University Press","","Oxford Handbooks Online","","","978-0-19-993539-0","","","","Book","Chapter","0001","Controlled","Regular","Total_Item_Investigations","1","0","0","0","1","0","0","0","0","0","0","0","0",
"Ecphrasis","Oxford University Press","","Oxford Handbooks Online","","","978-0-19-993539-0","","","","Book","Chapter","0001","Controlled","Regular","Total_Item_Requests","1","0","0","0","1","0","0","0","0","0","0","0","0",
"Ecphrasis","Oxford University Press","","Oxford Handbooks Online","","","978-0-19-993539-0","","","","Book","Chapter","0001","Controlled","Regular","Unique_Item_Investigations","1","0","0","0","1","0","0","0","0","0","0","0","0",
"Ecphrasis","Oxford University Press","","Oxford Handbooks Online","","","978-0-19-993539-0","","","","Book","Chapter","0001","Controlled","Regular","Unique_Item_Requests","1","0","0","0","1","0","0","0","0","0","0","0","0",
"Naucratis","Oxford University Press","","Oxford Handbooks Online","","","978-0-19-993539-0","","","","Book","","0001","Controlled","Regular","Unique_Title_Investigations","1","0","0","0","0","1","0","0","0","0","0","0","0",
"Naucratis","Oxford University Press","","Oxford Handbooks Online","","","978-0-19-993539-0","","","","Book","","0001","Controlled","Regular","Unique_Title_Requests","1","0","0","0","0","1","0","0","0","0","0","0","0",
"Naucratis","Oxford University Press","","Oxford Handbooks Online","","","978-0-19-993539-0","","","","Book","Chapter","0001","Controlled","Regular","Total_Item_Investigations","1","0","0","0","0","1","0","0","0","0","0","0","0",
"Naucratis","Oxford University Press","","Oxford Handbooks Online","","","978-0-19-993539-0","","","","Book","Chapter","0001","Controlled","Regular","Total_Item_Requests","1","0","0","0","0","1","0","0","0","0","0","0","0",
"Naucratis","Oxford University Press","","Oxford Handbooks Online","","","978-0-19-993539-0","","","","Book","Chapter","0001","Controlled","Regular","Unique_Item_Investigations","1","0","0","0","0","1","0","0","0","0","0","0","0",
"Naucratis","Oxford University Press","","Oxford Handbooks Online","","","978-0-19-993539-0","","","","Book","Chapter","0001","Controlled","Regular","Unique_Item_Requests","1","0","0","0","0","1","0","0","0","0","0","0","0",
"Philology and Greek Literature","Oxford University Press","","Oxford Handbooks Online","","","978-0-19-993539-0","","","","Book","","0001","Controlled","Regular","Unique_Title_Investigations","1","0","0","0","0","1","0","0","0","0","0","0","0",
"Philology and Greek Literature","Oxford University Press","","Oxford Handbooks Online","","","978-0-19-993539-0","","","","Book","","0001","Controlled","Regular","Unique_Title_Requests","1","0","0","0","0","1","0","0","0","0","0","0","0",
"Philology and Greek Literature","Oxford University Press","","Oxford Handbooks Online","","","978-0-19-993539-0","","","","Book","Chapter","0001","Controlled","Regular","Total_Item_Investigations","1","0","0","0","0","1","0","0","0","0","0","0","0",
"Philology and Greek Literature","Oxford University Press","","Oxford Handbooks Online","","","978-0-19-993539-0","","","","Book","Chapter","0001","Controlled","Regular","Total_Item_Requests","1","0","0","0","0","1","0","0","0","0","0","0","0",
"Philology and Greek Literature","Oxford University Press","","Oxford Handbooks Online","","","978-0-19-993539-0","","","","Book","Chapter","0001","Controlled","Regular","Unique_Item_Investigations","1","0","0","0","0","1","0","0","0","0","0","0","0",
"Philology and Greek Literature","Oxford University Press","","Oxford Handbooks Online","","","978-0-19-993539-0","","","","Book","Chapter","0001","Controlled","Regular","Unique_Item_Requests","1","0","0","0","0","1","0","0","0","0","0","0","0",
"The Oxford Handbook of Music Education, Volume 1","Oxford University Press","","Oxford Handbooks Online","","","978-0-19-973081-0","","","","Book","","0001","Controlled","Regular","Unique_Title_Investigations","1","0","0","1","0","0","0","0","0","0","0","0","0",
"The Oxford Handbook of Music Education, Volume 1","Oxford University Press","","Oxford Handbooks Online","","","978-0-19-973081-0","","","","Book","Chapter","0001","Controlled","Regular","No_License","1","0","0","1","0","0","0","0","0","0","0","0","0",
"The Oxford Handbook of Music Education, Volume 1","Oxford University Press","","Oxford Handbooks Online","","","978-0-19-973081-0","","","","Book","Chapter","0001","Controlled","Regular","Total_Item_Investigations","1","0","0","1","0","0","0","0","0","0","0","0","0",
"The Oxford Handbook of Music Education, Volume 1","Oxford University Press","","Oxford Handbooks Online","","","978-0-19-973081-0","","","","Book","Chapter","0001","Controlled","Regular","Unique_Item_Investigations","1","0","0","1","0","0","0","0","0","0","0","0","0",
"A Dictionary of Chemistry","Oxford University Press","","Oxford Reference","","","978-0-19-872282-3","","","","Book","","0001","Controlled","Regular","Unique_Title_Investigations","1","0","0","0","1","0","0","0","0","0","0","0","0",
"A Dictionary of Chemistry","Oxford University Press","","Oxford Reference","","","978-0-19-872282-3","","","","Book","","0001","Controlled","Regular","Unique_Title_Requests","1","0","0","0","1","0","0","0","0","0","0","0","0",
"A Dictionary of Chemistry","Oxford University Press","","Oxford Reference","","","978-0-19-872282-3","","","","Book","Other","0001","Controlled","Regular","Total_Item_Investigations","1","0","0","0","1","0","0","0","0","0","0","0","0",
"A Dictionary of Chemistry","Oxford University Press","","Oxford Reference","","","978-0-19-872282-3","","","","Book","Other","0001","Controlled","Regular","Total_Item_Requests","1","0","0","0","1","0","0","0","0","0","0","0","0",
"A Dictionary of Chemistry","Oxford University Press","","Oxford Reference","","","978-0-19-872282-3","","","","Book","Other","0001","Controlled","Regular","Unique_Item_Investigations","1","0","0","0","1","0","0","0","0","0","0","0","0",
"A Dictionary of Chemistry","Oxford University Press","","Oxford Reference","","","978-0-19-872282-3","","","","Book","Other","0001","Controlled","Regular","Unique_Item_Requests","1","0","0","0","1","0","0","0","0","0","0","0","0",
