title,vendor,publisher,platform,isbn,issn,eissn,yop,access_type,access_method,metric,total
"Strategies That Work, 3rd edition : Teaching Comprehension for Engagement, Understanding, and Building Knowledge, Grades K-8",ProQuest,Stenhouse Publishers,ProQuest Ebook Central,978-1-62531-063-7,,,2017,Controlled,Regular,Unique Title Requests,80
From Storefront to Monument,ProQuest,University of Massachusetts Press,ProQuest Ebook Central,978-1-62534-034-4,,,2013,Controlled,Regular,Unique Title Requests,7
From Storefront to Monument : Tracing the Public History of the Black Museum Movement,ProQuest,University of Massachusetts Press,ProQuest Ebook Central,978-1-62534-034-4,,,2013,Controlled,Regular,Unique Title Requests,2
Medical Encounters : Knowledge and Identity in Early American Literatures,ProQuest,University of Massachusetts Press,ProQuest Ebook Central,978-1-62534-056-6,,,2013,Controlled,Regular,Unique Title Requests,2
Aquinas on Virtue,JSTOR,Georgetown University Press,JSTOR,978-16-26164-74-1,,,2017,Controlled,Regular,Unique Title Requests,1
Russia Abroad,ProQuest,Georgetown University Press,ProQuest Ebook Central,978-1-62616-620-2,,,2018,Controlled,Regular,Unique Title Requests,1
What Works with Teens,ProQuest,New Harbinger Publications,ProQuest Ebook Central,978-1-62625-077-2,,,2015,Controlled,Regular,Unique Title Requests,2
Making a Life in Multiethnic Miami : Immigration and the Rise of a Global City,ProQuest,Lynne Rienner Publishers,ProQuest Ebook Central,978-1-62637-041-8,,,2014,Controlled,Regular,Unique Title Requests,1
"The Political Construction of Brazil : Society, Economy, and State since Independence",ProQuest,Lynne Rienner Publishers,ProQuest Ebook Central,978-1-62637-307-5,,,2016,Controlled,Regular,Unique Title Requests,1
"Politics and Society in Contemporary China, 2nd Ed.",EBSCO,Lynne Rienner Publishers,EBSCOhost,978-1-62637-898-8,,,2020,Controlled,Regular,Unique Title Requests,91
A Voice That Could Stir an Army : Fannie Lou Hamer and the Rhetoric of the Black Freedom Movement,ProQuest,University Press of Mississippi,ProQuest Ebook Central,978-1-62846-004-9,,,2014,Controlled,Regular,Unique Title Requests,5
Writing in the Kitchen : Essays on Southern Literature and Foodways,ProQuest,University Press of Mississippi,ProQuest Ebook Central,978-1-62846-023-0,,,2014,Controlled,Regular,Unique Title Requests,3
Women Artists of the Harlem Renaissance,ProQuest,University Press of Mississippi,ProQuest Ebook Central,978-1-62846-033-9,,,2014,Controlled,Regular,Unique Title Requests,2
Clockwork Rhetoric,ProQuest,University Press of Mississippi,ProQuest Ebook Central,978-1-62846-091-9,,,2014,Controlled,Regular,Unique Title Requests,1
"Boys Love Manga and Beyond : History, Culture, and Community in Japan",ProQuest,University Press of Mississippi,ProQuest Ebook Central,978-1-62846-119-0,,,2015,Controlled,Regular,Unique Title Requests,1
Southern Ladies and Suffragists : Julia Ward Howe and Women's Rights at the 1884 New Orleans World's Fair,ProQuest,University Press of Mississippi,ProQuest Ebook Central,978-1-62846-134-3,,,2014,Controlled,Regular,Unique Title Requests,1
"Resisting Paradise : Tourism, Diaspora, and Sexuality in Caribbean Culture",ProQuest,University Press of Mississippi,ProQuest Ebook Central,978-1-62846-218-0,,,2015,Controlled,Regular,Unique Title Requests,1
JFK,ProQuest,Algora Publishing,ProQuest Ebook Central,978-1-62894-081-7,,,2014,Controlled,Regular,Unique Title Requests,2
JFK : Assassination Rehearsal,ProQuest,Algora Publishing,ProQuest Ebook Central,978-1-62894-081-7,,,2014,Controlled,Regular,Unique Title Requests,2
Two Republics in China,ProQuest,Algora Publishing,ProQuest Ebook Central,978-1-62894-096-1,,,2014,Controlled,Regular,Unique Title Requests,1
"Races, Reforms, & Policy : Implications of the 2014 Midterm Elections",ProQuest,University of Akron Press,ProQuest Ebook Central,978-1-62922-069-7,,,2017,Controlled,Regular,Unique Title Requests,1
"A Profile of the United States Toy Industry, Second Edition",ProQuest,Business Expert Press,ProQuest Ebook Central,978-1-63157-606-5,,,2013,Controlled,Regular,Unique Title Requests,5
"Abdominal Obesity: Risk Factors, Weight Reduction Methods and Long-Term Health Effects",EBSCO,Nova Science Publishers Incorporated,EBSCOhost,978-1-63483-950-1,,,2015,Controlled,Regular,Unique Title Requests,1
Bourbon Justice : How Whiskey Law Shaped America,ProQuest,Potomac Books,ProQuest Ebook Central,978-1-64012-085-3,,,2018,Controlled,Regular,Unique Title Requests,4
